Rank,Players_name,Players_age,Team,Games_played,Games_started,Minutes_played_per_game,Field_goals_per_game,Field_goal_attempts_per_game,Field_goal_percentage,3_point_field_goals_per_game,3_point_field_goal_attempts_per_game,3_point_field_goal_percentage,2_point_field_goals_per_game,2_point_field_goal_attempts_per_game,2_point_field_goal_percentage,Effective_field_goal_percentage,Free_throws_per_game,Free_throw_attempts_per_game,Free_throw_percentage,Offensive_rebounds_per_game,Defensive_rebounds_per_game,Total_rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_fouls_per_game,Points_per_game,Class,Total_stats,Points_per_game_percentage,Total_rebounds_per_game_percentage,Assists_per_game_percentage,Steals_per_game_percentage,Blocks_per_game_percentage,Turnovers_per_game_percentage,3_point_field_goals_per_game_percentage
1,Precious Achiuwa,22,TOR,6,1,27.8,4.2,8.7,0.481,0.8,2.7,0.313,3.3,6.0,0.556,0.529,1.0,1.7,0.6,1.3,3.5,4.8,1.0,0.2,0.8,1.5,2.3,10.2,0,19.3,0.5284974093264249,0.24870466321243523,0.05181347150259067,0.010362694300518135,0.04145077720207254,0.07772020725388601,0.04145077720207254
2,Steven Adams,28,MEM,7,5,16.3,1.3,3.0,0.429,0.0,0.0,0.0,1.3,3.0,0.429,0.429,0.9,1.6,0.545,2.1,4.3,6.4,2.1,0.1,0.1,0.6,1.7,3.4,0,12.7,0.2677165354330709,0.5039370078740159,0.16535433070866143,0.007874015748031498,0.007874015748031498,0.047244094488188976,0.0
3,Bam Adebayo,24,MIA,18,18,34.1,5.8,9.7,0.594,0.0,0.1,0.0,5.8,9.7,0.598,0.594,3.2,4.2,0.763,2.1,5.9,8.0,2.7,1.0,0.7,2.1,3.1,14.8,0,29.3,0.5051194539249146,0.27303754266211605,0.09215017064846416,0.034129692832764506,0.02389078498293515,0.07167235494880546,0.0
4,Nickeil Alexander-Walker,23,UTA,1,0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,2,8.0,0.625,0.125,0.125,0.125,0.0,0.0,0.0
5,Grayson Allen,26,MIL,12,5,25.4,3.1,6.8,0.451,1.6,4.0,0.396,1.5,2.8,0.529,0.567,0.6,0.9,0.636,0.4,2.5,2.9,1.3,0.7,0.3,0.8,1.8,8.3,2,15.900000000000002,0.5220125786163522,0.1823899371069182,0.08176100628930817,0.04402515723270439,0.018867924528301883,0.05031446540880503,0.10062893081761005
6,Jose Alvarado,23,NOP,6,0,19.5,2.7,5.5,0.485,1.0,2.7,0.375,1.7,2.8,0.588,0.576,1.7,2.2,0.769,0.3,1.0,1.3,1.5,1.2,0.2,1.2,3.0,8.0,2,14.399999999999999,0.5555555555555556,0.09027777777777779,0.10416666666666667,0.08333333333333334,0.013888888888888892,0.08333333333333334,0.06944444444444445
7,Kyle Anderson,28,MEM,12,1,18.4,2.4,4.3,0.569,0.3,1.0,0.25,2.2,3.3,0.667,0.598,0.9,1.5,0.611,0.8,3.5,4.3,1.8,0.9,0.6,0.8,1.8,6.0,1,14.700000000000003,0.40816326530612235,0.292517006802721,0.12244897959183672,0.06122448979591836,0.040816326530612235,0.054421768707482984,0.020408163265306117
8,Giannis Antetokounmpo,27,MIL,12,12,37.3,11.7,23.8,0.491,0.8,3.4,0.22,10.9,20.3,0.537,0.507,7.6,11.2,0.679,2.2,12.0,14.2,6.8,0.7,1.3,4.5,3.6,31.7,1,59.99999999999999,0.5283333333333334,0.2366666666666667,0.11333333333333334,0.011666666666666667,0.02166666666666667,0.07500000000000001,0.013333333333333336
9,Thanasis Antetokounmpo,29,MIL,8,0,2.5,0.3,0.4,0.667,0.0,0.0,0.0,0.3,0.4,0.667,0.667,0.1,0.4,0.333,0.1,0.4,0.5,0.1,0.1,0.0,0.0,0.5,0.6,1,1.3000000000000003,0.46153846153846145,0.3846153846153845,0.07692307692307691,0.07692307692307691,0.0,0.0,0.0
10,OG Anunoby,24,TOR,6,6,36.2,6.5,13.7,0.476,2.3,6.8,0.341,4.2,6.8,0.61,0.561,2.0,2.7,0.75,1.2,2.8,4.0,2.5,1.0,0.2,1.7,3.0,17.3,1,29.0,0.596551724137931,0.13793103448275862,0.08620689655172414,0.034482758620689655,0.006896551724137932,0.05862068965517241,0.0793103448275862
