Rank,Players_name,Players_age,Team,Games_played,Games_started,Minutes_played_per_game,Field_goals_per_game,Field_goal_attempts_per_game,Field_goal_percentage,3_point_field_goals_per_game,3_point_field_goal_attempts_per_game,3_point_field_goal_percentage,2_point_field_goals_per_game,2_point_field_goal_attempts_per_game,2_point_field_goal_percentage,Effective_field_goal_percentage,Free_throws_per_game,Free_throw_attempts_per_game,Free_throw_percentage,Offensive_rebounds_per_game,Defensive_rebounds_per_game,Total_rebounds_per_game,Assists_per_game,Steals_per_game,Blocks_per_game,Turnovers_per_game,Personal_fouls_per_game,Points_per_game,Class,Total_stats,Points_per_game_percentage,Total_rebounds_per_game_percentage,Assists_per_game_percentage,Steals_per_game_percentage,Blocks_per_game_percentage,Turnovers_per_game_percentage,3_point_field_goals_per_game_percentage
1,Precious Achiuwa,22,TOR,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,0,19.8,0.45959595959595956,0.3282828282828283,0.05555555555555556,0.025252525252525252,0.0303030303030303,0.0606060606060606,0.04040404040404041
2,Steven Adams,28,MEM,76,75,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,0,23.499999999999996,0.2936170212765958,0.4255319148936171,0.1446808510638298,0.03829787234042554,0.03404255319148937,0.06382978723404256,0.0
3,Bam Adebayo,24,MIA,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,0,37.4,0.5106951871657754,0.2700534759358289,0.09090909090909091,0.0374331550802139,0.021390374331550804,0.06951871657754011,0.0
4,Santi Aldama,21,MEM,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,1,8.7,0.47126436781609193,0.31034482758620696,0.08045977011494253,0.02298850574712644,0.034482758620689655,0.0574712643678161,0.02298850574712644
5,LaMarcus Aldridge,36,BRK,47,12,22.3,5.4,9.7,0.55,0.3,1.0,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,0,21.799999999999997,0.5917431192660552,0.2522935779816514,0.04128440366972478,0.013761467889908258,0.045871559633027525,0.04128440366972478,0.013761467889908258
6,Nickeil Alexander-Walker,23,TOT,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,2,20.0,0.53,0.145,0.12,0.034999999999999996,0.02,0.06999999999999999,0.08
6,Nickeil Alexander-Walker,23,NOP,50,19,26.3,4.7,12.6,0.375,1.9,6.1,0.311,2.8,6.5,0.434,0.45,1.4,1.9,0.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,2,23.7,0.5400843881856541,0.13924050632911392,0.11814345991561181,0.03375527426160338,0.01687763713080169,0.07172995780590717,0.08016877637130801
6,Nickeil Alexander-Walker,23,UTA,15,2,9.9,1.1,3.2,0.333,0.7,2.2,0.303,0.4,1.0,0.4,0.438,0.7,0.8,0.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5,2,7.8999999999999995,0.44303797468354433,0.189873417721519,0.13924050632911394,0.0379746835443038,0.0379746835443038,0.06329113924050633,0.08860759493670886
7,Grayson Allen,26,MIL,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,2,20.099999999999998,0.5522388059701493,0.1691542288557214,0.0746268656716418,0.03482587064676617,0.01492537313432836,0.03482587064676617,0.11940298507462688
8,Jarrett Allen,23,CLE,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,0,32.300000000000004,0.4984520123839009,0.33436532507739936,0.049535603715170275,0.024767801857585137,0.040247678018575844,0.05263157894736841,0.0
9,Jose Alvarado,23,NOP,54,1,15.4,2.4,5.4,0.446,0.6,2.0,0.291,1.8,3.4,0.538,0.5,0.7,1.0,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,2,13.5,0.45185185185185184,0.14074074074074072,0.2074074074074074,0.0962962962962963,0.007407407407407408,0.05185185185185185,0.044444444444444446
10,Justin Anderson,28,TOT,16,6,19.8,2.3,5.9,0.379,0.9,3.7,0.254,1.3,2.3,0.583,0.458,0.9,1.2,0.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4,1,13.700000000000001,0.46715328467153283,0.21167883211678828,0.15328467153284672,0.0364963503649635,0.029197080291970802,0.0364963503649635,0.06569343065693431
10,Justin Anderson,28,CLE,3,0,15.7,1.3,2.7,0.5,0.7,2.0,0.333,0.7,0.7,1.0,0.625,1.0,1.3,0.75,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3,1,10.0,0.43,0.2,0.2,0.03,0.0,0.06999999999999999,0.06999999999999999
10,Justin Anderson,28,IND,13,6,20.7,2.5,6.7,0.368,1.0,4.1,0.245,1.5,2.6,0.559,0.443,0.9,1.2,0.8,0.3,2.8,3.1,2.1,0.5,0.5,0.5,1.4,6.8,1,14.5,0.4689655172413793,0.21379310344827587,0.14482758620689656,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.06896551724137931
11,Kyle Anderson,28,MEM,69,11,21.5,3.0,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,0.484,1.0,1.5,0.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6,1,18.9,0.40211640211640215,0.2804232804232804,0.14285714285714288,0.05820105820105821,0.037037037037037035,0.052910052910052914,0.026455026455026457
12,Giannis Antetokounmpo,27,MIL,67,67,32.9,10.3,18.6,0.553,1.1,3.6,0.293,9.2,15.0,0.616,0.582,8.3,11.4,0.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,1,54.199999999999996,0.551660516605166,0.21402214022140223,0.10701107011070111,0.020295202952029523,0.025830258302583026,0.06088560885608856,0.020295202952029523
13,Thanasis Antetokounmpo,29,MIL,48,6,9.9,1.5,2.7,0.547,0.0,0.3,0.143,1.4,2.4,0.596,0.555,0.6,1.0,0.63,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,1,7.3,0.4931506849315069,0.28767123287671237,0.0684931506849315,0.0410958904109589,0.0410958904109589,0.0684931506849315,0.0
14,Carmelo Anthony,37,LAL,69,3,26.0,4.6,10.5,0.441,2.2,5.8,0.375,2.5,4.7,0.521,0.544,1.9,2.3,0.83,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3,1,23.099999999999998,0.5757575757575758,0.18181818181818185,0.043290043290043295,0.030303030303030304,0.03463203463203464,0.03896103896103897,0.09523809523809526
